name,slug,url,description,category,sub-category,chains,status,github,docs,x_twitter,linkedin,email,telegram,listed
Superlend,superlend,superlend.xyz,Lending and borrowing aggregator connecting users to 350+ money markets across 11+ chains with automated vault products and looping strategies.,Lending & Yield,,"Ethereum, Arbitrum, Base, Optimism, Polygon, Avalanche, BNB Chain, Scroll, Gnosis, Sonic, Mode",active,Superlend,docs.superlend.xyz,SuperlendHQ,superlendxyz,,,false
Pendle Finance,pendle,pendle.finance,"Yield tokenization protocol splitting yield-bearing assets into Principal Tokens and Yield Tokens, enabling users to trade future yield separately.",Lending & Yield,,"Ethereum, Arbitrum, BNB Chain, Optimism, Base, Sonic, Berachain, Avalanche",active,pendle-finance,docs.pendle.finance,pendle_fi,pendlefinance,,pendlefinance,true
B.Protocol,bprotocol,bprotocol.org,Backstop liquidity protocol providing user-funded liquidation pools through its B.AMM to improve DeFi lending platform stability.,Lending & Yield,,"Ethereum, Arbitrum, Optimism",active,backstop-protocol,docs.bprotocol.org,bprotocoleth,b-protocol,,,false
LayerZero OVault,layerzero,layerzero.network/ovault,Cross-chain vault standard enabling ERC-4626 vaults to accept deposits and process withdrawals across any LayerZero-connected blockchain.,Infrastructure,Cross-Chain Platforms,"Ethereum, Arbitrum, Optimism, Base, Avalanche, Polygon",active,LayerZero-Labs,docs.layerzero.network/v2/developers/evm/ovault/overview,layerzero_core,layerzerolabs,,VcqxYkStIDsyN2Rh,true
Makina Finance,makina,makina.finance,Non-custodial DeFi execution engine enabling asset managers and AI agents to deploy automated cross-chain yield strategies through tokenized vaults.,Infrastructure,Cross-Chain Platforms,"Ethereum, Arbitrum, Optimism, Ink",active,MakinaHQ,docs.makina.finance,makinafi,makinafi,,makinafinance,true
Beefy Finance,beefy,beefy.com,Decentralized multichain yield optimizer that auto-compounds rewards from DeFi protocols through smart contract-powered vaults across 15+ blockchains.,Lending & Yield,,"Ethereum, Arbitrum, Optimism, Polygon, Avalanche, BNB Chain, Fantom, Base, Gnosis, Sonic, Linea, zkSync",active,beefyfinance,docs.beefy.finance,beefyfinance,,,beefyfinance,true
Yearn,yearn,yearn.fi,DeFi yield aggregator automating yield farming through yVaults that route deposited assets across protocols like Curve and Aave.,Lending & Yield,,"Ethereum, Arbitrum, Optimism, Polygon, Base, Fantom",active,yearn,docs.yearn.fi,yearnfi,,,,true
Ethena,ethena,ethena.fi,Synthetic dollar protocol providing USDe stablecoin backed by crypto collateral and delta-hedged short futures positions with yield-bearing sUSDe.,Asset Tokenization,Tokenization Platforms,"Ethereum, Arbitrum, Solana, Base, Optimism, BNB Chain, Blast, Aptos, Berachain, zkSync, Linea, Scroll",active,ethena-labs,docs.ethena.fi,ethena_labs,ethena-labs,,ethena_labs,true
Lagoon Finance,lagoon,lagoon.finance,Permissionless EVM vault infrastructure using ERC-7540 standard enabling curators to deploy and manage asynchronous tokenized vaults.,Infrastructure,Vault Platforms,"Ethereum, Avalanche, Base, Arbitrum, Linea, Monad, Plasma, TAC",active,hopperlabsxyz,docs.lagoon.finance,lagoon_finance,lagoon-finance,,,true
Re7 Labs,re7labs,re7labs.xyz,DeFi risk curation and research firm managing yield vaults across lending protocols and providing advisory services to DeFi protocols.,Management & Curation,,"Ethereum, Avalanche, Plasma, Base, Plume, Unichain, Solana",active,,,Re7Labs,re7-labs,,+gYiPKl2kghAwYWVk,true
Grove,grove,grove.finance,Credit infrastructure protocol within Sky Ecosystem routing onchain capital into tokenized real-world assets including collateralized loan obligations.,Lending & Yield,,"Ethereum, Avalanche, Plume, Monad",beta,grove-labs,,grovedotfinance,grove-finance,contact@grove.finance,,true
Apostro,apostro,apostro.xyz,DeFi curation platform that kickstarts and manages capital-efficient money markets on Morpho and Aave using proprietary risk intelligence analytics.,Management & Curation,,"Ethereum, Base",active,,docs.apostro.xyz,apostroxyz,,hello@apostro.xyz,apostroxyz,true
Almanak,almanak,almanak.co,"AI-powered DeFi platform enabling users to build, test, and deploy automated financial strategies through autonomous agents in non-custodial vaults.",Infrastructure,Vault Platforms,"Ethereum, Base, Arbitrum",active,,docs.almanak.co,Almanak,almanakai,,AlmanakAgents,true
Centrifuge,centrifuge,centrifuge.io,"Platform for tokenizing real-world assets like invoices, real estate, and credit, enabling businesses to access DeFi liquidity through onchain pools.",Asset Tokenization,Tokenization Platforms,"Ethereum, Base, Arbitrum",active,centrifuge,docs.centrifuge.io,centrifuge,centrifugehq,,,true
K3 Capital,k3,k3.capital,"DeFi risk management firm and liquidity provider managing yield-bearing vaults and curating lending markets across Euler, Morpho, and Gearbox.",Management & Curation,,"Ethereum, Base, Arbitrum",active,,k3-capital.gitbook.io,k3_capital,k3-capital-am,,,true
Upshift,upshift,upshift.finance,ERC-4626 vault platform connecting depositors with professional yield curators who execute DeFi strategies through non-custodial infrastructure.,Infrastructure,Vault Platforms,"Ethereum, Base, Arbitrum",active,,docs.upshift.finance,upshift_fi,upshiftfinance,,upshiftfi,true
Euler,euler,euler.finance,Modular lending protocol with customizable ERC-4626 vaults enabling permissionless borrowing and lending markets with cross-collateralization via Ethereum Vault Connector.,Lending & Yield,,"Ethereum, Base, Arbitrum, Avalanche, Sonic, Ink, BNB Chain",active,euler-xyz,docs.euler.finance,eulerfinance,,,eulerfinance_official,true
Backed Finance,backed,backed.fi,"Issues tokenized securities (bTokens) tracking stocks and ETFs, fully collateralized 1:1 by underlying assets on multiple EVM chains.",Asset Tokenization,Tokenization Platforms,"Ethereum, Base, Arbitrum, Polygon, Gnosis, Avalanche, BNB Chain, Fantom",active,,docs.backed.fi,BackedFi,backed-finance,contact@backed.fi,,true
Seven Seas,sevenseas,sevenseas.capital,Quantitative DeFi strategist operating non-custodial yield vaults generating returns through market making and risk-managed leveraged strategies.,Management & Curation,,"Ethereum, Base, Arbitrum, Scroll, Sonic, Plasma, Hyperliquid, Berachain, BNB Chain",active,,,sevenseas_c,sevenseascapital,,,true
Midas,midas,midas.app,"Asset tokenization platform issuing regulatory-compliant ERC-20 tokens backed by U.S. Treasury bills, bank deposits, and DeFi yield strategies.",Asset Tokenization,Tokenization Platforms,"Ethereum, Base, Etherlink, Arbitrum",active,,docs.midas.app,midasrwa,midasrwa,,midasrwa,true
Spark Protocol,spark,spark.fi,Decentralized lending and borrowing protocol within Sky ecosystem enabling users to borrow USDS/DAI against crypto collateral and earn yield.,Lending & Yield,,"Ethereum, Base, Gnosis, Arbitrum",active,sparkdotfi,,sparkdotfi,,,sparkdotfi_chat,true
Gauntlet,gauntlet,gauntlet.xyz,DeFi risk management platform providing simulation-based protocol optimization services and operating institutional-grade yield vaults with quantitative strategies.,Management & Curation,,"Ethereum, Base, Polygon, Arbitrum, Solana",active,,vaultbook.gauntlet.xyz,gauntlet_xyz,gauntlet-xyz,,+qTLcaTeLzdM5Zjgx,true
Steakhouse Financial,steakhouse,steakhouse.financial,"DeFi advisory and infrastructure firm providing institutional asset management tools, curating yield vaults on Morpho, and building stablecoin infrastructure.",Management & Curation,,"Ethereum, Base, Polygon, Unichain, Arbitrum, Solana",active,Steakhouse-Financial,steakhouse.financial/docs,SteakhouseFi,steakhouse-financial,chefs@steakhouse.financial,,true
Maple Finance,maple,maple.finance,"Onchain asset management platform providing institutional lending infrastructure with over-collateralized crypto loans backed by BTC, ETH, and other assets.",Lending & Yield,,"Ethereum, Base, Solana",active,maple-labs,docs.maple.finance,maplefinance,maplefinance,,maplefinance,true
MEV Capital,mevcapital,mevcapital.com,"DeFi risk management firm curating vaults on Morpho and Midas, deploying market-neutral yield strategies across lending and restaking.",Management & Curation,,"Ethereum, Base, Solana, Sui",active,,,mevcapital,mev-capital,,,true
kpk,kpk,kpk.io,"Non-custodial treasury management service for DAOs managing onchain assets, executing DeFi strategies, and providing governance support.",Management & Curation,,"Ethereum, Gnosis",active,karpatkey,,kpk_io,kpk-io,,,true
Zodiac Roles Modifier,zodiac,zodiac.wiki/documentation/roles-modifier,"Onchain permissions module for Safe enabling granular role-based access control with scoped addresses, functions, parameters, and rate limits.",Tooling,Access Control,"Ethereum, Gnosis, Arbitrum, Optimism, Polygon, Base",active,gnosisguild,docs.roles.gnosisguild.org,gnosisguild,,,,true
Safe,safe,safe.global,Smart contract wallet for Ethereum and EVM chains providing multisig security with configurable approval thresholds and modular extensions.,Tooling,Key Management,"Ethereum, Gnosis, Arbitrum, Optimism, Polygon, Base, Avalanche, BNB Chain, zkSync, Celo, Linea, Scroll",active,safe-global,docs.safe.global,SafeLabs_,,,,true
Predicate,predicate,predicate.io,Decentralized policy engine enabling developers to define and enforce pre-transaction rules at the smart contract level.,Tooling,Access Control,"Ethereum, Plume",active,,docs.predicate.io,0xPredicate,predicatenetwork,,,true
Avantgarde,avantgarde,avantgarde.finance,"DeFi asset management firm and core contributor to Enzyme protocol, providing treasury management and vault strategies for DAOs and institutions.",Management & Curation,,"Ethereum, Polygon",active,,,avantgardefi,avantgarde-finance,,,true
Enzyme Finance,enzyme,enzyme.finance,Onchain asset management protocol on Ethereum and Polygon enabling creation and management of tokenized investment vaults with DeFi protocol access.,Infrastructure,Vault Platforms,"Ethereum, Polygon, Arbitrum, Base",active,,docs.enzyme.finance,enzymefinance,enzymefinance,support@enzyme.finance,,true
Clearpool,clearpool,clearpool.finance,"Decentralized marketplace for uncollateralized institutional lending, connecting whitelisted borrowers with liquidity providers through single-borrower pools.",Lending & Yield,,"Ethereum, Polygon, Arbitrum, Optimism, Avalanche, Base, Flare",active,clearpool-finance,docs.clearpool.finance,ClearpoolFin,clearpool,,clearpoolofficial,true
Tokeny,tokeny,tokeny.com,Enterprise tokenization platform using ERC-3643 standard for issuing and managing compliant security tokens on EVM blockchains.,Asset Tokenization,Tokenization Platforms,"Ethereum, Polygon, Avalanche",active,TokenySolutions,docs.tokeny.com,TokenySolutions,tokeny,contact@tokeny.com,,true
Coinchange,coinchange,coinchange.io,Yield-as-a-Service platform providing automated DeFi yield strategies for fintechs and institutions via API across multiple protocols and chains.,Management & Curation,,"Ethereum, Polygon, Avalanche, BNB Chain",active,,,coinchangeio,coinchange,,,true
Securitize,securitize,securitize.io,"SEC-registered tokenization platform providing end-to-end infrastructure for issuing, trading, and managing tokenized securities.",Asset Tokenization,Tokenization Platforms,"Ethereum, Polygon, Avalanche, Solana, Aptos, Arbitrum, Algorand",active,,,Securitize,securitize,,,true
Aera,aera,aera.finance,Noncustodial treasury management protocol enabling DAOs to manage onchain assets through off-chain guardians with automated rebalancing.,Infrastructure,Vault Platforms,"Ethereum, Polygon, Gnosis, Optimism, Arbitrum, Avalanche, Base, BNB Chain, Scroll",active,,docs.aera.finance,aerafinance,aera-finance,,,true
Ondo Finance,ondo,ondo.finance,"Tokenization platform issuing blockchain tokens (OUSG, USDY) backed by U.S. Treasuries and money market funds for institutional-grade onchain access.",Asset Tokenization,Treasury Securities,"Ethereum, Polygon, Solana, XRP Ledger, Aptos",active,ondoprotocol,docs.ondo.finance,OndoFinance,ondo-finance,,ondofinance,true
Superstate,superstate,superstate.com,Asset management firm offering SEC-compliant tokenized funds including short-duration U.S. Treasury securities (USTB) on Ethereum and Solana.,Asset Tokenization,Treasury Securities,"Ethereum, Solana",active,,docs.superstate.com,superstateinc,superstate,comms@superstate.com,,true
Lore,lore,lore.xyz,Co-ownership platform enabling groups to pool funds in shared wallets for collective investing and issuance of Liquid Tokenized Portfolios.,Infrastructure,Vault Platforms,"Solana",active,,,lorexyz,lorexyz,,,false
Veda,veda,veda.tech,Modular vault infrastructure platform enabling institutions to create and manage cross-chain DeFi yield products using BoringVault framework.,Infrastructure,Cross-Chain Platforms,"Ethereum, Solana, Berachain, Sonic",active,,docs.veda.tech,veda_labs,veda-tech,,+GfI_iZQ6wsZlZWNh,true
Libeara,libeara,libeara.com,Standard Chartered-backed asset tokenization platform enabling fund managers to issue and manage tokenized real-world assets onchain.,Asset Tokenization,Tokenization Platforms,"Ethereum, Stellar, Arbitrum",active,,,libeara_,libeara,,,true
Franklin Templeton BENJI,franklintempleton,franklinresources.com,Tokenized money market fund platform providing onchain access to Franklin OnChain U.S. Government Money Fund shares across multiple blockchains.,Asset Tokenization,Treasury Securities,"Ethereum, Stellar, Polygon, Avalanche, Aptos, Base, Arbitrum, Solana",active,,,FTDA_US,franklin-templeton,,,true
SingularV,singularv,singularv.xyz,Asset management firm curating yield vaults and deploying market-neutral strategies with institutional-grade risk controls and real-time transparency.,Management & Curation,,"Ethereum, TON",active,,,SingularV__,singularv,contact@singularv.xyz,,true
Katana,katana,katana.network,DeFi-focused Layer-2 blockchain concentrating liquidity through core applications and providing yield via VaultBridge and chain-owned liquidity.,Infrastructure,Cross-Chain Platforms,Katana,active,katana-network,docs.katana.network,katana,katananetwork,,,true
ALT3 Capital,alt3,alt3.capital,Investment company offering DeFi liquidity provision strategies with risk-hedging and algorithmic position management on decentralized protocols.,Management & Curation,,Solana,active,,,ALT3Capital,alt3capital,,,true
Clearstar,clearstar,clearstar.xyz,"DeFi strategy firm that designs, curates, and manages institutional-grade yield vaults on Morpho with automated risk management.",Management & Curation,,"Ethereum, Base, Katana, Arbitrum, Unichain, Polygon",active,,,ClearstarLabs,clearstar-labs-ag,info@clearstar.xyz,,true
Dialectic Group,dialectic,dialectic.com,"Crypto-native investment firm operating venture funds, market-neutral yield strategies, and ETH-denominated DeFi yield products through onchain allocations.",Management & Curation,,Ethereum,active,,,Dialectic_Group,dialectic-group,,,true
Hyperithm,hyperithm,hyperithm.com,"Tokyo and Seoul-based digital asset manager offering algorithmic trading strategies, prime brokerage services, and Web3 venture investments.",Management & Curation,,"Ethereum, HyperEVM, Arbitrum",active,,,hyperithm,hyperithm,,,true
Plume Network,plume,plume.org,EVM-compatible Layer 1 blockchain purpose-built for real-world asset tokenization with end-to-end infrastructure for compliance and DeFi integration.,Asset Tokenization,Tokenization Platforms,Plume,active,plumenetwork,docs.plume.org,plumenetwork,plume-network,,plumenetwork_community,true
Nest,nest,nest.credit,"Vault protocol providing yield from tokenized real-world assets including U.S. Treasuries, private credit, and floating-rate loans.",Asset Tokenization,Private Credit & Alternatives,"Plume, Ethereum, Plasma, BNB Chain, Solana",active,,docs.nest.credit,nestcredit,nestcredit,,NestCredit,true
dHedge,dhedge,dhedge.org,Decentralized non-custodial asset management protocol enabling users to create or invest in tokenized vaults managed by third-party managers.,Infrastructure,Vault Platforms,"Polygon, Optimism, Arbitrum, Base",active,dhedge,docs.dhedge.org,dHedgeOrg,,team@dhedge.org,dhedge,true
Figure Technologies,figure,figure.com,"Fintech company using Provenance Blockchain to originate, securitize, and trade consumer loans with tokenized real-world asset marketplace functionality.",Asset Tokenization,Private Credit & Alternatives,Provenance,active,,,figure,figuretechnologies,,,true
Kaio,kaio,kaio.xyz,"Protocol enabling compliant tokenization and onchain distribution of institutional funds from BlackRock, Brevan Howard, and Hamilton Lane.",Asset Tokenization,Tokenization Platforms,"Sei, Hedera",active,,docs.kaio.xyz,KAIO_xyz,kaioxyz,,kaio_xyz,true
Carrot,deficarrot,deficarrot.com,"Solana-based yield aggregator that auto-rebalances stablecoin deposits across DeFi lending protocols, represented as a single yield-bearing token.",Lending & Yield,,Solana,active,DeFi-Carrot,docs.deficarrot.com,DeFiCarrot,defi-carrot,,deficarrot,true
Drift Protocol,drift,drift.trade,"Decentralized exchange on Solana offering perpetual futures with up to 20x leverage, spot trading, lending, borrowing, and managed yield vaults.",Infrastructure,Protocol-Native Vaults,Solana,active,drift-labs,docs.drift.trade,driftprotocol,driftprotocol,,,true
Elemental,elemental,elemental.fund,Solana-based crypto fund providing fixed-yield returns on USDC and SOL deposits through diversified DeFi strategies including lending and arbitrage.,Management & Curation,,Solana,active,,docs.elemental.fund,elementaldefi,,,+aANLjoEmNlRlMmRh,true
Exponent Finance,exponent,exponent.finance,Solana protocol enabling fixed-rate yields by splitting DeFi positions into tradable Income Tokens (principal) and Yield Tokens (variable yield).,Lending & Yield,,Solana,active,exponent-finance,docs.exponent.finance,exponentfinance,,,exponentcitizens,true
GLAM,glam,glam.systems,Solana-based protocol providing programmable vaults with embedded policies for institutional asset managers to launch tokenized investment products.,Infrastructure,Vault Platforms,Solana,active,glamsystems,docs.glam.systems,glamsystems,glamsystems,hello@glam.systems,,true
HaveMore,havemore,havemore.fi,Platform providing institutional investors with simplified access to digital asset yield opportunities through native staking and regulated fund products.,Management & Curation,,Solana,beta,,,HaveMoreFi,,,,true
Jupiter Lend,jupiter,jup.ag/lend/earn,Solana money market enabling users to earn yield on deposits and borrow against collateral through isolated vaults with LTV ratios up to 95%.,Lending & Yield,,Solana,active,jup-ag,hub.jup.ag,JupiterExchange,jupiter-onchain,,jup_marketing,true
Kamino Finance,kamino,kamino.com,"Solana DeFi protocol combining automated concentrated liquidity vaults, lending and borrowing markets, and leveraged trading products.",Lending & Yield,,Solana,active,Kamino-Finance,docs.kamino.finance,kamino,kaminofinance,,+DVzNEEQqiSRjODg0,true
Keel,keel,keel.fi,Solana-native capital allocator within the Sky ecosystem deploying USDS stablecoin reserves into Solana DeFi protocols and tokenized asset markets.,Management & Curation,,Solana,active,keel-fi,docs.keel.fi,keel_fi,,,,true
Loopscale,loopscale,loopscale.com,"Solana order book-based lending protocol providing fixed-rate, fixed-duration loans with direct lender-borrower matching and diverse collateral support.",Lending & Yield,,Solana,active,LoopscaleLabs,docs.loopscale.com,Loopscale,loopscalelabs,team@loopscale.com,,true
Lulo,lulo,lulo.fi,Solana lending aggregator that automatically routes stablecoin deposits to the highest-yielding lending protocols across integrated dApps.,Lending & Yield,,Solana,active,lulo-labs,docs.lulo.fi,uselulo,uselulo,,uselulo,true
Lyra,lyra,lyra.exchange,Solana-based DeFi platform providing tokenized ETF-style baskets and yield-generating vaults with integrated fiat onramp and portfolio management tools.,Infrastructure,Vault Platforms,Solana,beta,,,LyraMSquare,lyramsquare,,,false
M1 Capital,m1,m1-capital.com,"Digital asset management firm offering market-neutral funds, onchain vaults, and tailored investment vehicles with DeFi yield strategies.",Management & Curation,,Solana,active,,,M1Capital_,m1capital,info@m1-capital.com,,true
Meteora,meteora,meteora.ag,"Solana-based liquidity protocol offering Dynamic Liquidity Market Maker (DLMM) pools, dynamic AMM pools, and yield-optimizing vaults.",Infrastructure,Protocol-Native Vaults,Solana,active,MeteoraAg,docs.meteora.ag,MeteoraAg,meteora-ag,,,true
PrimeNumber,primenumber,primenumber.trade,"Omnichain DeFi ecosystem on XDC Network offering lending, borrowing, staking, and NFT marketplace using LayerZero for cross-chain functionality.",Management & Curation,,Solana,active,,primenumber-trade.gitbook.io,TradingPN,,support@primenumber.trade,+WX1CXtq9NmEyOTI9,true
Sentora,sentora,sentora.com,"Institutional DeFi platform (formerly IntoTheBlock) providing risk management tools, curated yield vaults, and treasury optimization services.",Management & Curation,,Solana,active,,,SentoraHQ,sentorahq,,,true
Solstice Finance,solstice,solstice.finance,Solana-based protocol providing a USD-pegged stablecoin (USX) and YieldVault for access to delta-neutral yield strategies.,Asset Tokenization,Tokenization Platforms,Solana,active,,docs.solstice.finance,solsticefi,solsticelabs,,Solstice_TG,true
Squads,squads,squads.xyz/multisig,"Solana multisig protocol enabling teams to manage treasuries, program upgrades, and validator operations with configurable approval thresholds.",Tooling,Key Management,Solana,active,Squads-Protocol,docs.squads.so,SquadsProtocol,squads-labs,,,true
Starke Finance,starke,starke.finance,"Solana-based platform for creating, managing, and investing in tokenized managed funds containing cryptocurrencies and real-world assets.",Asset Tokenization,Tokenization Platforms,Solana,beta,,docs.starke.finance,StarkeFinance,starkefinance,contact@starke.finance,+k5kbuTbyVBkxYzVl,true
Symmetry,symmetry,symmetry.fi,Solana-based protocol for creating and managing tokenized multi-asset baskets with automated rebalancing via intents and Dutch auctions.,Infrastructure,Vault Platforms,Solana,active,symmetry-protocol,docs.symmetry.fi,symmetry_fi,,,,true
Vectis Finance,vectis,vectis.finance,Solana yield protocol offering delta-neutral vaults using leverage and perpetual hedging on Drift to generate returns while minimizing price exposure.,Management & Curation,,Solana,active,,docs.vectis.finance,vectis_finance,,,vectisfi,true
Voltr,voltr,voltr.xyz,Solana vault framework enabling fund managers and AI agents to create yield-generating vaults with modular adaptors for lending protocols.,Infrastructure,Vault Platforms,Solana,active,voltrxyz,docs.voltr.xyz,voltrxyz,,,,true
Kvants,kvants,kvants.ai,Decentralized asset management platform tokenizing AI-driven quantitative trading strategies from hedge funds via NFT-based fund subscriptions.,Infrastructure,Vault Platforms,"Solana, Arbitrum",active,,kvants.gitbook.io,kvantsai,kvants,,kvantsai,true
ViXii Technology,vixii,vixii.net,"Quantitative asset management firm deploying automated delta-neutral and cross-chain arbitrage strategies across Solana, Ethereum, and Arbitrum.",Management & Curation,,"Solana, Ethereum, Arbitrum",beta,,,vixii612,,,,false
Ace.Pro,acepro,ace.pro,"Trading platform combining perpetual trading, lending, options, and yield strategies into a unified product.",Management & Curation,,"Solana, Hyperliquid",active,,,acedotpro,,official@ace.pro,,true
Allez Labs,allez,allez.xyz,"Research lab providing strategy consulting, risk management, tokenomics design, and analytics services for DeFi protocols.",Management & Curation,,"Solana, Hyperliquid",active,,,AllezLabs,allez-labs,hey@allez.xyz,,true
